red,green,blue,time
104.294,134.73,134.6532,0.3469998836517334
95.9172,129.7556,129.0664,0.3822150230407715
94.8608,122.734,125.202,0.4111800193786621
94.4864,123.4916,127.4952,0.4430696964263916
85.5744,119.2096,121.3588,0.4807760715484619
86.8492,115.9836,118.7684,0.5149705410003662
82.282,108.5764,113.1204,0.5470538139343262
76.6332,108.1656,113.1528,0.5830705165863037
79.2324,110.0348,111.9404,0.6150097846984863
82.6648,111.2596,115.0524,0.6470668315887451
73.3444,107.434,110.1136,0.6830360889434814
77.1192,110.0908,111.6016,0.7151036262512207
80.2796,105.1432,111.938,0.7470114231109619
77.0964,103.7504,110.5116,0.7830893993377686
73.5048,101.7432,105.8592,0.8150320053100586
83.568,107.6016,113.4544,0.8470721244812012
76.2204,108.9496,111.812,0.8823633193969727
77.2392,108.5052,109.1644,0.9118456840515137
81.8492,108.5068,115.1464,0.9434607028961182
75.8604,108.306,110.126,0.9801328182220459
68.0456,98.8256,102.0868,1.0110139846801758
80.1892,106.8968,112.8116,1.0470774173736572
72.8868,102.536,108.5444,1.0830292701721191
71.2272,101.2744,104.0952,1.1151618957519531
82.9104,106.0084,113.5744,1.1470863819122314
76.1268,104.7044,110.0692,1.18314790725708
69.0368,103.2996,105.9504,1.2150359153747559
77.6792,107.098,112.5936,1.2470917701721191
73.8532,103.3612,109.2288,1.2830402851104736
70.1288,102.3652,103.8804,1.3151116371154785
73.8336,106.6128,110.6284,1.347041130065918
70.1344,98.6424,106.6912,1.3831055164337158
70.894,101.2328,105.2428,1.415015697479248
78.3756,99.0036,108.7716,1.4470953941345215
72.064,100.4012,107.97,1.4829127788543701
70.3852,102.804,106.1476,1.5150961875915527
76.126,104.1076,109.9156,1.547022819519043
69.3444,101.5208,107.0952,1.5790886878967285
66.3656,100.0604,103.6588,1.6150522232055664
76.7804,99.3192,109.006,1.6470506191253662
73.876,104.3896,109.5512,1.6830029487609863
64.1796,98.6856,102.694,1.7151422500610352
73.2168,102.5404,109.2236,1.7469594478607178
69.7776,95.1188,104.3864,1.783034324645996
66.5848,100.1088,104.4732,1.8149328231811523
73.1872,100.8788,107.384,1.8470139503479004
69.7152,97.196,106.792,1.8830664157867432
65.7764,97.778,102.8072,1.9150996208190918
70.7556,101.9168,106.7432,1.946988821029663
66.7596,94.7644,103.8748,1.983161211013794
64.1496,94.9816,101.342,2.0151422023773193
74.2276,95.528,105.6868,2.0471577644348145
66.7576,97.7632,104.3756,2.083031415939331
63.6212,96.522,100.8796,2.1150243282318115
66.2516,94.426,100.6816,2.143054962158203
69.512,96.8908,106.5012,2.181164503097534
60.1192,90.9964,97.6324,2.215029239654541
66.1392,90.5292,100.7572,2.2471280097961426
66.3484,97.5664,104.1292,2.2829654216766357
60.2716,93.8888,99.1356,2.3149845600128174
65.4568,94.8548,102.6484,2.346914768218994
66.0052,90.5992,102.2056,2.3832340240478516
62.6864,93.924,101.6952,2.4150590896606445
68.8232,96.3404,104.5504,2.4469828605651855
70.1052,92.6608,106.3276,2.4829914569854736
64.2852,94.0044,102.2608,2.514976739883423
69.5992,94.75,104.6148,2.5468785762786865
66.1284,92.5412,103.862,2.578946828842163
61.0808,90.7108,99.5148,2.6149652004241943
67.5308,97.0748,103.938,2.647096633911133
65.922,91.8536,103.068,2.679199695587158
60.5016,92.2048,100.7144,2.715362071990967
60.8824,93.1432,99.5056,2.747539520263672
70.638,96.1208,106.4124,2.7792887687683105
63.8572,95.096,102.8812,2.815114974975586
65.8576,93.6508,102.2608,2.8471522331237793
65.5176,95.1092,105.4324,2.879080295562744
62.9556,94.6868,102.2196,2.915078639984131
67.5572,94.0016,104.0724,2.9471347332000732
69.7956,96.278,107.8936,2.979172945022583
65.3612,95.2992,106.3224,3.0150372982025146
67.7256,97.8868,106.3308,3.0472002029418945
68.3812,96.6352,108.0124,3.0831615924835205
61.3884,92.4272,102.2256,3.115215539932251
63.596,86.456,98.8436,3.1473233699798584
68.3108,91.2324,106.56,3.1831893920898438
61.622,94.3028,103.1428,3.2151596546173096
63.1268,89.8024,100.1272,3.247182607650757
71.6044,91.9284,108.5632,3.2831268310546875
60.812,90.5132,102.1636,3.315091848373413
62.834,94.508,103.6376,3.347059488296509
71.8764,92.0996,109.1716,3.3831915855407715
61.4188,94.1588,101.9012,3.4150681495666504
62.444,95.3816,102.774,3.4470925331115723
62.5236,92.5788,103.4512,3.4830963611602783
63.8456,94.0924,104.9588,3.5150811672210693
64.1672,89.8588,102.1356,3.5470526218414307
